Species	Gene	NeutralA	NeutralT	NeutralG	NeutralC	GenerationLength_d	ECO.Maximum.longevity..yrs.	ECO.Body.mass..g.	ECO.Metabolic.rate..W.	ECO.Temperature..K.
Mus_caroli	ATP6	54	26	6	20	628.295	NA	NA	NA	NA
Leggadina_lakedownensis	ATP6	67	16	1	21	624.399640909091	NA	NA	NA	NA
Myodes_regulus	ATP6	49	23	3	34	433.359922223833	NA	NA	NA	NA
Rattus_tanezumi	ATP6	58	27	3	22	534.7590666715	NA	NA	NA	NA
Cricetulus_kamensis	ATP6	45	18	8	42	589.388299099621	NA	NA	NA	NA
Apodemus_peninsulae	ATP6	63	31	0	16	554.1929125	4.4	NA	NA	NA
Sorex_cylindricauda	ATP6	58	22	1	25	422.884597917875	NA	NA	NA	NA
Anourosorex_squamipes	ATP6	61	27	0	19	379.29295625	NA	NA	NA	NA
Akodon_montensis	ATP6	42	27	5	38	589.388299099621	NA	NA	NA	NA
Rattus_rattus	ATP6	57	27	2	22	546.1994	4.2	117	0.77	311.15
Episoriculus_fumidus	ATP6	59	24	4	26	426.91011944525	NA	NA	NA	NA
Cricetulus_longicaudatus	ATP6	57	32	4	18	589.388299099621	NA	NA	NA	NA
Apodemus_draco	ATP6	65	18	3	23	554.1929125	NA	NA	NA	NA
Leopoldamys_edwardsi	ATP6	55	23	6	23	639.631831820818	NA	NA	NA	NA
Nectogale_elegans	ATP6	57	37	3	15	379.29295625	NA	NA	NA	NA
Meriones_meridianus	ATP6	55	28	8	20	608.148016666667	6.8	NA	NA	NA
Crocidura_mindorus	ATP6	49	31	3	27	427.67965	NA	NA	NA	NA
Mus_fragilicauda	ATP6	60	18	5	27	628.295	NA	NA	NA	NA
Apodemus_chevrieri	ATP6	61	22	2	25	554.1929125	NA	NA	NA	NA
Apodemus_latronum	ATP6	64	25	0	19	554.1929125	NA	NA	NA	NA
Suncus_murinus	ATP6	49	40	2	18	363.52745	3.2	39.7	0.403	311.85
Rattus_villosissimus	ATP6	61	14	3	28	534.7590666715	NA	NA	NA	NA
Crocidura_grayi	ATP6	52	34	3	23	427.67965	NA	NA	NA	NA
Episoriculus_caudatus	ATP6	56	33	5	18	426.91011944525	NA	NA	NA	NA
