SpeciesGene A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Abbottina_rivularis.ATP6 0.0402448554311019 0.0402448554311019 0.120734566293306 0.0140661630632977 0.0140661630632977 0.295389424329252 0.123209169054441 0.00560041677520188 0.0112008335504038 0.243813493097161 0.0914300599114353 0
Abudefduf_vaigiensis.ATP6 0 0.138265081461911 0.0319073264912102 0.00714697015885919 0.00714697015885919 0.378789418419537 0.0618162110896589 0.00247264844358636 0.00494529688717271 0.023710327541239 0.343799749347966 0
Acanthogobius_hasta.ATP6 0 0 0.259552042160738 0 0 0.204216073781291 0.122529644268775 0 0 0.206851119894598 0.206851119894598 0
Adelomyia_melanogenys.ATP6 0.0178010347236199 0.225479773165852 0.00593367824120662 0.00588158689192229 0.00392105792794819 0.233302946712917 0.0286336675861579 0.00246841961949637 0.00148105177169782 0.0285058070015509 0.422836137189672 0.0237548391679591
Agkistrodon_contortrix.ATP6 0.0808520939239893 0.161704187847979 0.0404260469619947 0 0 0.179479199087042 0.0345817339281392 0 0 0.062869592281357 0.440087145969499 0
Anguilla_anguilla.ATP6 0 0.429091822635347 0.0612988318050496 0.0556462755935184 0 0.296780136498765 0.0561068542477913 0 0.00561068542477913 0.0381861575178998 0.0572792362768496 0
Barbus_petenyi.ATP6 0.0360806190390498 0.432967428468598 0.0360806190390498 0.0212344790354508 0 0.180493071801332 0.1376642073061 0 0 0 0.155479575310419 0
Barisia_imbricata.ATP6 0.0448465897177706 0.279045447132795 0.0996590882617125 0.0208378093638126 0.00833512374552505 0.233383464874701 0.0665903907930534 0.00507355358423264 0.0031709709901454 0.0423331098553778 0.189253902882866 0.00747054879800785
Basileuterus_rivularis.ATP6 0 0.289814293753517 0.193209529169011 0.0189457887825924 0 0.265241042956293 0.0459576064528231 0 0 0.0622772462952542 0.124554492590508 0
Bombina_variegata.ATP6 0 0.244890070065233 0.0524764435854071 0 0 0.0612225175163083 0.170475960376903 0.0284126600628171 0 0 0.442522348393332 0
Bos_indicus.ATP6 0 0.333706606942889 0.333706606942889 0 0 0.309070548712206 0.0235162374020157 0 0 0 0 0
Brachyhypopomus_occidentalis.ATP6 0.0155970492069068 0.181965574080579 0.0727862296322317 0.0167968222228227 0.00479909206366363 0.242354149215013 0.0923825222255249 0.00139973518523523 0.00839841111141135 0.0965601102494123 0.25560029183668 0.0113600129705191
Brachymeles_bonitae.ATP6 0 0.383000777403472 0.047875097175434 0.00484581497797357 0 0.213215859030837 0.0876392847888054 0 0.00345944545218969 0.0748380409432495 0.173309147447525 0.0118165327805131
Brachymeles_boulengeri.ATP6 0.0150303176931335 0.202909288857303 0.0901819061588012 0.0301614423459796 0.00532260747281992 0.271452981113816 0.0836697765613738 0.00502018659368243 0.0066935821249099 0.067339049087949 0.215484957081437 0.0067339049087949
Brachymeles_gracilis.ATP6 0.0227907892147215 0.387443416650266 0.091163156858886 0.00562881322574296 0 0.106947451289116 0.0371580397559536 0.0023223774847471 0.0023223774847471 0.0312930525487109 0.312930525487109 0
Branchiostoma_belcheri.ATP6 0.0375890266420469 0.300712213136376 0.00939725666051174 0.107227644420997 0.0804207333157478 0.151905829596413 0.226440912687945 0.0276147454497494 0 0.00146729095225534 0.0572243471379583 0
Branchiostoma_lanceolatum.ATP6 0.0456385319605553 0.0521583222406346 0.0260791611203173 0 0 0.452038792752166 0.197902800793241 0.0702235744750211 0.051071690527288 0.028605579853848 0.0762815462769281 0
Camelus_bactrianus.ATP6 0.119241982507289 0.119241982507289 0.119241982507289 0 0 0.043731778425656 0.0947521865889213 0 0 0 0.503790087463557 0
Capra_aegagrus.ATP6 0 0 0.143437077131258 0 0 0.510148849797023 0.0216508795669824 0 0 0 0.324763193504736 0
Carassius_auratus.ATP6 0 0.481246393537219 0.180467397576457 0 0 0.10732833237161 0.0444316214656665 0 0.00403923831506059 0.0165897287939988 0.165897287939988 0
Centromochlus_existimatus.ATP6 0.00937868575245006 0.225088458058802 0.0656508002671504 0.00781557146037505 0.00390778573018753 0.230559358081064 0.0361505705367166 0.00502091257454397 0.00100418251490879 0.0377657886385275 0.366867661059981 0.0107902253252936
Cercopithecus_mitis.ATP6 0.0169735500509806 0.203682600611768 0.0169735500509806 0.0163138007557128 0 0.179451808312841 0.0404846158459785 0 0 0.0122353505667846 0.513884723804954 0
Channa_marulius.ATP6 0.0529945127497873 0.158983538249362 0.0529945127497873 0 0 0.204231344816456 0.0455412424073476 0 0.0113853106018369 0 0.406173890078934 0.067695648346489
Channa_striata.ATP6 0 0.113739728645137 0.0284349321612842 0 0.0180775845595261 0.144620676476209 0.0129944582457481 0 0 0.0889738199885343 0.563500859927384 0.0296579399961781
Cheirogaleus_medius.ATP6 0.0230361997424524 0.115180998712262 0.0115180998712262 0.0100157390184576 0 0.37058234368293 0.0102303619974245 0.00078695092287881 0.00078695092287881 0.0457862355129489 0.41207611961654 0
