first;second;at;ag;ac;ta;tg;tc;ga;gt;gc;ca;ct;cg
28409;AM_PR_0048;0;2;0;1;0;1;1;0;0;0;0;0
20269;18231;0;1;0;0;0;0;0;0;0;0;0;0
17837;EU_IT_0648;0;1;0;0;0;1;0;0;0;0;0;0
6484;EU_GB_0203;0;1;0;0;0;2;0;0;0;0;2;0
29187;AM_GL_0001;0;1;0;0;0;0;0;0;0;0;1;0
15298;11475;0;1;0;1;0;0;0;0;0;0;0;0
33133;7947;0;2;0;0;0;1;2;0;0;0;2;0
8198;AF_BF_0099;0;0;0;0;0;2;1;0;0;0;0;0
30275;OC_SB_0512;0;0;0;0;0;0;0;0;0;0;3;0
24228;23101;0;0;0;0;0;1;0;0;0;0;0;0
1258;AM_CO_0434;1;2;0;0;0;3;3;0;0;0;4;0
12745;XX_XX_5306;0;3;0;0;0;2;3;0;0;0;5;0
5571;EU_XX_0745;0;2;0;0;0;5;0;0;0;0;1;0
32318;32160;0;0;0;0;0;2;0;0;0;2;2;0
31633;XX_XX_7606;0;0;0;0;0;2;1;0;0;0;1;0
9007;XX_XX_9202;0;4;1;0;0;2;4;0;0;0;5;0
27903;27390;1;3;0;0;0;0;0;0;0;0;0;0
14527;OC_NZ_0006;0;2;0;0;0;1;3;0;0;0;1;0
10537;AS_MY_0058;0;3;0;0;0;1;1;0;0;0;2;0
18213;15538;0;0;0;0;0;1;0;0;0;0;0;0
4770;EU_ES_0260;0;1;0;1;1;11;2;0;0;0;4;1
26898;AF_MA_0029;0;4;1;0;0;6;8;0;0;0;2;0
5498;EU_IT_2963;0;1;0;0;0;1;3;0;0;0;2;0
3227;OC_SB_0009;0;0;0;0;0;0;1;0;0;0;2;0
32471;32325;0;1;0;0;0;0;1;0;0;0;4;0
18264;XX_XX_13432;0;1;0;0;0;1;0;0;0;1;1;0
34499;34437;0;0;0;0;0;3;0;0;0;1;1;0
35606;XX_XX_3164;0;0;0;1;1;9;1;0;0;0;3;0
2211;XX_XX_1058;0;2;0;1;0;3;2;0;0;1;3;0
34787;34737;0;12;0;0;0;11;13;0;0;0;13;0
20420;EU_EE_0001;1;4;0;0;0;0;3;0;0;0;1;0
235;EU_ES_0942;0;0;0;0;0;0;2;0;0;0;2;0
29513;EU_GB_0021;0;1;0;0;0;0;0;0;0;0;2;0
22475;20973;0;0;0;0;0;1;0;0;0;0;0;0
3767;AS_IN_0269;0;6;1;0;0;8;8;0;1;0;11;0
19858;17702;0;0;0;0;0;0;0;0;0;0;1;0
13040;8024;0;3;0;0;0;3;0;0;1;0;1;0
9312;1504;0;1;0;0;0;3;2;0;0;0;2;0
4962;AM_US_TN_0003;0;0;0;0;1;0;3;0;0;0;0;0
9919;EU_IT_0375;0;4;0;0;0;5;3;0;0;0;4;0
10698;EU_RU_1023;0;1;0;0;0;3;1;1;0;0;3;0
16748;13546;0;0;0;0;0;0;0;0;0;0;1;0
4899;EU_IT_0973;0;2;0;0;0;0;0;0;0;0;2;0
7092;EU_XX_0495;0;1;0;0;0;1;2;0;0;0;1;0
208;AF_ET_0044;0;10;4;0;0;19;10;0;0;0;18;1
