Species	Gene	FrA	FrT	FrG	FrC	ECO.Maximum.longevity..yrs.	ECO.Body.mass..g.	ECO.Metabolic.rate..W.	ECO.Temperature..K.
Archilochus_colubris	ND4L	0.548387096774194	0.112903225806452	0.0483870967741935	0.290322580645161	9.1	3.2	0.07832	NA
Archilochus_colubris	COX3	0.460431654676259	0.079136690647482	0.0503597122302158	0.410071942446043	9.1	3.2	0.07832	NA
Archilochus_colubris	ATP8	0.675675675675676	0.108108108108108	0.027027027027027	0.189189189189189	9.1	3.2	0.07832	NA
Archilochus_colubris	CytB	0.417989417989418	0.153439153439153	0.037037037037037	0.391534391534392	9.1	3.2	0.07832	NA
Archilochus_colubris	COX2	0.521367521367521	0.153846153846154	0.0683760683760684	0.256410256410256	9.1	3.2	0.07832	NA
Archilochus_colubris	ND1	0.357142857142857	0.175824175824176	0.043956043956044	0.423076923076923	9.1	3.2	0.07832	NA
Archilochus_colubris	ATP6	0.428571428571429	0.166666666666667	0.0476190476190476	0.357142857142857	9.1	3.2	0.07832	NA
Archilochus_colubris	ND6	0.316239316239316	0.282051282051282	0.0427350427350427	0.358974358974359	9.1	3.2	0.07832	NA
Archilochus_colubris	ND3	0.44	0.146666666666667	0.0666666666666667	0.346666666666667	9.1	3.2	0.07832	NA
Archilochus_colubris	ND5	0.4	0.131034482758621	0.0448275862068966	0.424137931034483	9.1	3.2	0.07832	NA
Archilochus_colubris	ND2	0.37696335078534	0.136125654450262	0.0785340314136126	0.408376963350785	9.1	3.2	0.07832	NA
Archilochus_colubris	ND4	0.360515021459227	0.128755364806867	0.0515021459227468	0.459227467811159	9.1	3.2	0.07832	NA
Archilochus_colubris	COX1	0.433823529411765	0.176470588235294	0.0551470588235294	0.334558823529412	9.1	3.2	0.07832	NA
Campylorhynchus_brunneicapillus	ND5	0.334384858044164	0.0725552050473186	0.0662460567823344	0.526813880126183	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	COX3	0.347222222222222	0.0972222222222222	0.0555555555555556	0.5	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND3	0.454545454545455	0.0454545454545455	0.0606060606060606	0.439393939393939	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	COX1	0.402214022140221	0.0848708487084871	0.0774907749077491	0.435424354243542	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND1	0.28804347826087	0.0706521739130435	0.0978260869565217	0.543478260869565	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ATP8	0.585365853658537	0.0487804878048781	0.024390243902439	0.341463414634146	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND2	0.28	0.08	0.125	0.515	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ATP6	0.361702127659574	0.0425531914893617	0.148936170212766	0.446808510638298	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND4L	0.435483870967742	0.0483870967741935	0.0645161290322581	0.451612903225806	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	CytB	0.373134328358209	0.0796019900497512	0.0945273631840796	0.45273631840796	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	COX2	0.375	0.0859375	0.0859375	0.453125	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND6	0.23728813559322	0.211864406779661	0.076271186440678	0.474576271186441	7.3	NA	NA	NA
Campylorhynchus_brunneicapillus	ND4	0.30078125	0.08203125	0.0546875	0.5625	7.3	NA	NA	NA
Cecropis_daurica	ND4L	0.433333333333333	0.133333333333333	0.05	0.383333333333333	9	NA	NA	NA
Cecropis_daurica	CytB	0.446601941747573	0.111650485436893	0.0388349514563107	0.402912621359223	9	NA	NA	NA
Cecropis_daurica	COX3	0.438848920863309	0.18705035971223	0.0575539568345324	0.316546762589928	9	NA	NA	NA
Cecropis_daurica	COX1	0.468164794007491	0.119850187265918	0.0599250936329588	0.352059925093633	9	NA	NA	NA
Cecropis_daurica	ATP6	0.451612903225806	0.0806451612903226	0.0645161290322581	0.403225806451613	9	NA	NA	NA
Cecropis_daurica	COX2	0.458333333333333	0.166666666666667	0.0333333333333333	0.341666666666667	9	NA	NA	NA
Cecropis_daurica	ND5	0.364864864864865	0.101351351351351	0.0472972972972973	0.486486486486487	9	NA	NA	NA
Cecropis_daurica	ND3	0.438356164383562	0.10958904109589	0.0547945205479452	0.397260273972603	9	NA	NA	NA
Cecropis_daurica	ND2	0.386243386243386	0.0952380952380952	0.0740740740740741	0.444444444444444	9	NA	NA	NA
Cecropis_daurica	ND6	0.378151260504202	0.19327731092437	0.0252100840336134	0.403361344537815	9	NA	NA	NA
