Species,Class,Taxonomy,NeutralA,NeutralT,NeutralG,NeutralC,FrA,FrT,FrG,FrC,GhAhSkew,Passeriformes
Cnemotriccus_fuscatus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Tyrannidae_Cnemotriccus,737,502,67,607,0.385258755880815,0.262415054887611,0.0350235232618923,0.317302665969681,0.0946798917944094,1
Pericrocotus_ethologus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Campephagidae_Pericrocotus,901,353,75,500,0.492618917441225,0.193001640240569,0.0410060142154183,0.273373428102788,0.172332942555686,1
Sternula_albifrons,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Charadriiformes_Laridae_Sternula,820,405,56,594,0.437333333333333,0.216,0.0298666666666667,0.3168,0.189189189189189,0
Trogon_viridis,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Trogoniformes_Trogonidae_Trogon,825,401,83,594,0.433526011560694,0.210719915922228,0.0436153441933789,0.312138728323699,0.193969849246231,0
Pyrrhocorax_graculus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Corvidae_Pyrrhocorax,864,351,95,533,0.468800868149756,0.190450352685838,0.0515463917525773,0.289202387411829,0.205882352941176,1
Lanius_schach,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Laniidae_Lanius,857,354,115,539,0.459517426273458,0.189812332439678,0.0616621983914209,0.289008042895442,0.207166853303471,1
Lanius_tephronotus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Laniidae_Lanius,856,352,117,541,0.458735262593783,0.188638799571275,0.0627009646302251,0.289924973204716,0.211646136618141,1
Pyrrhocorax_pyrrhocorax,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Corvidae_Pyrrhocorax,840,361,101,555,0.452342487883683,0.194399569197631,0.0543887991383953,0.298869143780291,0.2117903930131,1
Lanius_cristatus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Laniidae_Lanius,848,353,105,545,0.458130740140465,0.190707725553755,0.0567260940032415,0.294435440302539,0.21380846325167,1
Dromaius_novaehollandiae,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Palaeognathae_Casuariiformes_Dromaiidae_Dromaius,843,382,74,612,0.441130298273155,0.199895342752486,0.0387231815803244,0.320251177394035,0.231388329979879,0
