# Site-specific subtitution rates determined by empirical Bayesian method
# This file can be read in MS Excel or in R with command:
#   tab=read.table('asr.rate',header=TRUE)
# Columns are tab-separated with following meaning:
#   Site:   Alignment site ID
#   Rate:   Posterior mean site rate weighted by posterior probability
#   Cat:    Category with highest posterior (0=invariable, 1=slow, etc)
#   C_Rate: Corresponding rate of highest category
Site	Rate	Cat	C_Rate
1	0.03943	1	0.03943
2	0.00000	0	0.00000
3	0.00000	0	0.00000
4	0.03943	1	0.03943
5	0.00010	0	0.00000
6	3.16005	4	3.16005
7	0.00010	0	0.00000
8	0.00073	0	0.00000
9	0.91221	3	0.91221
10	0.28637	2	0.28637
11	0.00000	0	0.00000
12	3.16005	4	3.16005
13	0.03943	1	0.03943
14	0.03943	1	0.03943
15	0.91221	3	0.91221
16	0.03943	1	0.03943
17	0.03943	1	0.03943
18	3.16005	4	3.16005
19	0.91221	3	0.91221
20	0.91221	3	0.91221
21	3.16005	4	3.16005
22	0.00010	0	0.00000
23	0.03943	1	0.03943
24	3.16005	4	3.16005
25	0.03943	1	0.03943
26	0.00000	0	0.00000
27	0.91221	3	0.91221
28	0.28637	2	0.28637
29	0.00000	0	0.00000
30	0.91221	3	0.91221
31	0.28637	2	0.28637
32	0.28637	2	0.28637
33	0.91221	3	0.91221
34	0.28637	2	0.28637
35	0.28637	2	0.28637
36	0.91221	3	0.91221
37	0.28637	2	0.28637
38	0.03943	1	0.03943
39	0.28637	2	0.28637
40	3.16005	4	3.16005
41	0.04080	1	0.03943
42	3.16005	4	3.16005
43	3.16005	4	3.16005
44	0.91221	3	0.91221
45	0.91221	3	0.91221
46	0.28637	2	0.28637
47	0.03943	1	0.03943
48	3.16005	4	3.16005
49	0.03943	1	0.03943
50	0.03943	1	0.03943
51	0.91221	3	0.91221
52	3.16005	4	3.16005
53	0.03943	1	0.03943
54	3.16005	4	3.16005
55	0.91221	3	0.91221
56	0.28637	2	0.28637
57	3.16005	4	3.16005
58	0.28637	2	0.28637
59	0.26978	2	0.28637
60	3.16005	4	3.16005
61	0.28637	2	0.28637
62	0.28637	2	0.28637
63	3.16005	4	3.16005
64	3.16005	4	3.16005
65	0.03943	1	0.03943
66	3.16005	4	3.16005
67	0.91221	3	0.91221
68	0.03943	1	0.03943
69	3.16005	4	3.16005
70	0.91221	3	0.91221
71	0.03943	1	0.03943
72	3.16005	4	3.16005
73	0.00009	0	0.00000
74	0.00070	0	0.00000
75	3.16005	4	3.16005
76	0.03943	1	0.03943
77	0.00009	0	0.00000
78	3.16005	4	3.16005
79	0.03943	1	0.03943
80	0.00070	0	0.00000
81	0.91221	3	0.91221
82	0.91221	3	0.91221
83	0.03943	1	0.03943
84	3.16005	4	3.16005
85	0.91221	3	0.91221
86	0.03943	1	0.03943
87	3.16005	4	3.16005
88	0.91221	3	0.91221
89	0.28637	2	0.28637
90	3.16005	4	3.16005
91	0.03943	1	0.03943
92	0.03943	1	0.03943
93	3.16005	4	3.16005
94	0.91221	3	0.91221
95	0.91221	3	0.91221
96	3.16005	4	3.16005
97	0.91221	3	0.91221
98	0.28637	2	0.28637
99	3.16005	4	3.16005
100	0.91221	3	0.91221
101	0.91221	3	0.91221
102	3.16005	4	3.16005
103	0.03984	1	0.03943
104	0.03998	1	0.03943
105	3.16005	4	3.16005
106	0.91221	3	0.91221
107	0.91221	3	0.91221
108	3.16005	4	3.16005
109	0.28637	2	0.28637
110	0.28637	2	0.28637
111	3.16005	4	3.16005
112	0.91221	3	0.91221
113	0.91221	3	0.91221
114	3.16005	4	3.16005
115	0.91221	3	0.91221
116	0.91221	3	0.91221
117	3.16005	4	3.16005
118	0.28637	2	0.28637
119	0.28637	2	0.28637
120	3.16005	4	3.16005
121	3.16005	4	3.16005
122	0.91221	3	0.91221
123	3.16005	4	3.16005
124	3.16005	4	3.16005
125	0.91221	3	0.91221
126	3.16005	4	3.16005
127	3.16005	4	3.16005
128	3.16005	4	3.16005
129	3.16005	4	3.16005
130	3.16005	4	3.16005
131	0.91221	3	0.91221
132	3.16005	4	3.16005
133	3.16005	4	3.16005
134	0.91221	3	0.91221
135	3.16005	4	3.16005
136	0.91221	3	0.91221
137	0.91221	3	0.91221
138	3.16005	4	3.16005
139	0.91221	3	0.91221
140	0.28637	2	0.28637
141	3.16005	4	3.16005
142	0.91221	3	0.91221
143	0.91220	3	0.91221
144	3.16005	4	3.16005
145	0.91221	3	0.91221
146	0.03943	1	0.03943
147	3.16005	4	3.16005
148	0.03943	1	0.03943
149	0.00000	0	0.00000
150	0.03943	1	0.03943
151	3.16005	4	3.16005
152	0.91221	3	0.91221
153	0.91221	3	0.91221
154	0.03943	1	0.03943
155	0.03943	1	0.03943
156	0.03943	1	0.03943
157	0.03943	1	0.03943
158	0.03943	1	0.03943
159	0.03944	1	0.03943
160	0.00000	0	0.00000
161	0.03943	1	0.03943
162	0.03943	1	0.03943
163	0.28637	2	0.28637
164	0.28637	2	0.28637
165	3.16005	4	3.16005
