,Species,NeutralA,NeutralT,NeutralG,NeutralC,FrA,FrT,FrG,FrC,Lm,Tm,TemperatureC,Class
2666,Galaxias_truttaceus,464,554,338,811,0.214120904476234,0.255652976465159,0.15597600369174,0.374250115366867,NA,NA,NA,Actinopterygii
3904,Plecoglossus_altivelis,485,563,255,872,0.222988505747126,0.258850574712644,0.117241379310345,0.400919540229885,20,1,NA,Actinopterygii
4279,Salangichthys_microdon,485,467,304,916,0.22329650092081,0.215009208103131,0.139963167587477,0.421731123388582,NA,NA,NA,Actinopterygii
2663,Galaxias_maculatus,498,696,335,621,0.231627906976744,0.323720930232558,0.155813953488372,0.288837209302326,NA,NA,NA,Actinopterygii
639,Hypomesus_olidus,536,646,234,736,0.24907063197026,0.300185873605948,0.108736059479554,0.342007434944238,10,NA,16,Actinopterygii
1012,Osmerus_mordax,541,532,246,817,0.253277153558052,0.249063670411985,0.115168539325843,0.38249063670412,19.3,2,1,Actinopterygii
3513,Neosalanx_taihuensis,560,390,234,955,0.261804581580178,0.182328190743338,0.109396914446003,0.446470313230482,NA,1,NA,Actinopterygii
4281,Salanx_cuvieri,567,452,251,889,0.262621584066698,0.209356183418249,0.1162575266327,0.411764705882353,NA,NA,NA,Actinopterygii
2851,Hemisalanx_brachyrostralis,574,454,247,873,0.267225325884544,0.211359404096834,0.114990689013035,0.406424581005587,NA,NA,NA,Actinopterygii
2191,Chirostoma_humboldtianum,576,483,225,871,0.267285382830626,0.224129930394432,0.104408352668213,0.404176334106729,NA,NA,NA,Actinopterygii
2662,Galaxias_gollumoides,566,570,251,715,0.269267364414843,0.271170313986679,0.119410085632731,0.340152235965747,NA,NA,NA,Actinopterygii
4280,Salanx_ariakensis,584,453,228,866,0.274049741905209,0.212576255279212,0.106992022524636,0.406381980290943,NA,NA,NA,Actinopterygii
1108,Pleuragramma_antarctica,581,494,209,823,0.275747508305648,0.234456573327005,0.0991931656383484,0.390602752728999,NA,NA,-0.8,Actinopterygii
3685,Pagothenia_borchgrevinki,581,641,360,509,0.277857484457197,0.306551889048302,0.172166427546628,0.243424198947872,NA,NA,NA,Actinopterygii
1261,Sardina_pilchardus,597,441,425,677,0.278971962616822,0.20607476635514,0.198598130841121,0.316355140186916,15,2,19,Actinopterygii
