"species" "gene" "start" "end" "IfEndIsOverlapped" "IfStartIsOverlapped"
"38489" "Abalistes_stellaris" "ND1" 2856 3831 216 2856
"38490" "Abalistes_stellaris" "ND2" 4047 5092 391 216
"38491" "Abalistes_stellaris" "COX1" 5483 7034 154 391
"38492" "Abalistes_stellaris" "COX2" 7188 7879 76 154
"38493" "Abalistes_stellaris" "ATP8" 7955 8123 -10 76
"38494" "Abalistes_stellaris" "ATP6" 8113 8796 0 -10
"38495" "Abalistes_stellaris" "COX3" 8796 9581 72 0
"38496" "Abalistes_stellaris" "ND3" 9653 10002 69 72
"38497" "Abalistes_stellaris" "ND4L" 10071 10368 -7 69
"38498" "Abalistes_stellaris" "ND4" 10361 11742 222 -7
"38499" "Abalistes_stellaris" "ND5" 11964 13803 -4 222
"38500" "Abalistes_stellaris" "ND6" 13799 14321 74 -4
"38501" "Abalistes_stellaris" "CytB" 14395 15536 34464 74
"49113" "Abbottina_obtusirostris" "ND1" 2864 3839 215 2864
"49114" "Abbottina_obtusirostris" "ND2" 4054 5099 389 215
"49115" "Abbottina_obtusirostris" "COX1" 5488 7039 159 389
"49116" "Abbottina_obtusirostris" "COX2" 7198 7889 77 159
"49117" "Abbottina_obtusirostris" "ATP8" 7966 8131 -7 77
"49118" "Abbottina_obtusirostris" "ATP6" 8124 8808 -1 -7
"49119" "Abbottina_obtusirostris" "COX3" 8807 9591 71 -1
"49120" "Abbottina_obtusirostris" "ND3" 9662 10011 69 71
"49121" "Abbottina_obtusirostris" "ND4L" 10080 10377 -7 69
"49122" "Abbottina_obtusirostris" "ND4" 10370 11752 212 -7
"49123" "Abbottina_obtusirostris" "ND5" 11964 13800 -4 212
"49124" "Abbottina_obtusirostris" "ND6" 13796 14318 73 -4
"49125" "Abbottina_obtusirostris" "CytB" 14391 15532 34468 73
"15267" "Abbottina_rivularis" "ND1" 2860 3835 214 2860
"15268" "Abbottina_rivularis" "ND2" 4049 5094 390 214
"15269" "Abbottina_rivularis" "COX1" 5484 7035 159 390
"15270" "Abbottina_rivularis" "COX2" 7194 7885 77 159
"15271" "Abbottina_rivularis" "ATP8" 7962 8127 -7 77
"15272" "Abbottina_rivularis" "ATP6" 8120 8804 -1 -7
"15273" "Abbottina_rivularis" "COX3" 8803 9587 72 -1
"15274" "Abbottina_rivularis" "ND3" 9659 10009 70 72
"15275" "Abbottina_rivularis" "ND4L" 10079 10376 -7 70
"15276" "Abbottina_rivularis" "ND4" 10369 11751 212 -7
"15277" "Abbottina_rivularis" "ND5" 11963 13799 -4 212
"15278" "Abbottina_rivularis" "ND6" 13795 14317 71 -4
"15279" "Abbottina_rivularis" "CytB" 14388 15529 34471 71
"20794" "Ablennes_hians" "ND1" 2901 3876 213 2901
"20795" "Ablennes_hians" "ND2" 4089 5135 386 213
"20796" "Ablennes_hians" "COX1" 5521 7075 158 386
"20797" "Ablennes_hians" "COX2" 7233 7924 76 158
"20798" "Ablennes_hians" "ATP8" 8000 8168 -10 76
"20799" "Ablennes_hians" "ATP6" 8158 8842 -1 -10
"20800" "Ablennes_hians" "COX3" 8841 9626 71 -1
"20801" "Ablennes_hians" "ND3" 9697 10046 69 71
"20802" "Ablennes_hians" "ND4L" 10115 10412 -7 69
"20803" "Ablennes_hians" "ND4" 10405 11786 216 -7
"20804" "Ablennes_hians" "ND5" 12002 13841 -4 216
"20805" "Ablennes_hians" "ND6" 13837 14359 73 -4
"20806" "Ablennes_hians" "CytB" 14432 15573 34427 73
"8934" "Abramis_brama" "ND1" 2868 3843 215 2868
"8935" "Abramis_brama" "ND2" 4058 5103 387 215
"8936" "Abramis_brama" "COX1" 5490 7041 161 387
"8937" "Abramis_brama" "COX2" 7202 7893 77 161
"8938" "Abramis_brama" "ATP8" 7970 8135 -7 77
"8939" "Abramis_brama" "ATP6" 8128 8812 -1 -7
"8940" "Abramis_brama" "COX3" 8811 9595 72 -1
"8941" "Abramis_brama" "ND3" 9667 10016 69 72
"8942" "Abramis_brama" "ND4L" 10085 10382 -7 69
"8943" "Abramis_brama" "ND4" 10375 11757 212 -7
"8944" "Abramis_brama" "ND5" 11969 13805 -4 212
"8945" "Abramis_brama" "ND6" 13801 14323 71 -4
"8946" "Abramis_brama" "CytB" 14394 15535 34465 71
"32627" "Abronia_graminea" "ND1" 2743 3715 211 2743
"32628" "Abronia_graminea" "ND2" 3926 4964 376 211
"32629" "Abronia_graminea" "COX1" 5340 6888 142 376
"32630" "Abronia_graminea" "COX2" 7030 7718 63 142
"32631" "Abronia_graminea" "ATP8" 7781 7949 -10 63
"32632" "Abronia_graminea" "ATP6" 7939 8622 0 -10
"32633" "Abronia_graminea" "COX3" 8622 9406 65 0
"32634" "Abronia_graminea" "ND3" 9471 9817 66 65
"32635" "Abronia_graminea" "ND4L" 9883 10180 -7 66
"32636" "Abronia_graminea" "ND4" 10173 11554 201 -7
"32637" "Abronia_graminea" "ND5" 11755 13579 -9 201
"32638" "Abronia_graminea" "ND6" 13570 14086 69 -9
"32639" "Abronia_graminea" "CytB" 14155 15290 34710 69
"11889" "Abrornis_inornata" "ND1" 2793 3771 227 2793
"11890" "Abrornis_inornata" "ND2" 3998 5038 365 227
"11891" "Abrornis_inornata" "COX1" 5403 6954 145 365
"11892" "Abrornis_inornata" "COX2" 7099 7783 71 145
"11893" "Abrornis_inornata" "ATP8" 7854 8022 -10 71
"11894" "Abrornis_inornata" "ATP6" 8012 8696 7 -10
"11895" "Abrornis_inornata" "COX3" 8703 9487 69 7
"11896" "Abrornis_inornata" "ND3" 9556 9907 72 69
"11897" "Abrornis_inornata" "ND4L" 9979 10276 -7 72
"11898" "Abrornis_inornata" "ND4" 10269 11647 207 -7
"11899" "Abrornis_inornata" "ND5" 11854 13672 8 207
"11900" "Abrornis_inornata" "CytB" 13680 14823 1223 8
"11901" "Abrornis_inornata" "ND6" 16046 16565 33435 1223
"26933" "Abudefduf_vaigiensis" "ND1" 2860 3835 212 2860
"26934" "Abudefduf_vaigiensis" "ND2" 4047 5092 387 212
"26935" "Abudefduf_vaigiensis" "COX1" 5479 7066 160 387
"26936" "Abudefduf_vaigiensis" "COX2" 7226 7917 76 160
"26937" "Abudefduf_vaigiensis" "ATP8" 7993 8161 -10 76
"26938" "Abudefduf_vaigiensis" "ATP6" 8151 8834 0 -10
"26939" "Abudefduf_vaigiensis" "COX3" 8834 9619 72 0
"26940" "Abudefduf_vaigiensis" "ND3" 9691 10040 69 72
"26941" "Abudefduf_vaigiensis" "ND4L" 10109 10406 -7 69
"26942" "Abudefduf_vaigiensis" "ND4" 10399 11780 218 -7
"26943" "Abudefduf_vaigiensis" "ND5" 11998 13837 -4 218
"26944" "Abudefduf_vaigiensis" "ND6" 13833 14355 74 -4
"26945" "Abudefduf_vaigiensis" "CytB" 14429 15570 34430 74
"38554" "Acanthaluteres_brownii" "ND1" 2843 3818 213 2843
"38555" "Acanthaluteres_brownii" "ND2" 4031 5076 390 213
"38556" "Acanthaluteres_brownii" "COX1" 5466 7017 154 390
"38557" "Acanthaluteres_brownii" "COX2" 7171 7862 76 154
